Name,Class,Choice1,Choice2,Choice3,AssignedProject
Austin Watson,1a,Music Band,Robotics,Science Fair,
Travis Garcia,2b,Math Olympiad,School Newspaper,Science Fair,
Joseph Mercer,3b,Art Project,Debate Team,Robotics,
Richard Gonzalez,1a,Robotics,Art Project,School Newspaper,
Allison Clark,3b,Drama Performance,Creative Writing,Sports Committee,
Amanda Gonzalez,2b,Robotics,Sports Committee,Art Project,
Amy Rodriguez,4b,Art Project,Debate Team,Creative Writing,
Catherine Rose,4b,Robotics,Art Project,Debate Team,
Meagan Curtis,1a,Robotics,Music Band,Sports Committee,
Ross Nguyen,1a,Art Project,Sports Committee,Creative Writing,
Karen Green,3b,Debate Team,School Newspaper,Music Band,
Gregory Hernandez,4b,Gardening Club,Music Band,Drama Performance,
Timothy Guzman,2b,Creative Writing,Drama Performance,Sports Committee,
Christine Liu,3b,Science Fair,Drama Performance,Math Olympiad,
Brenda Perkins,1a,Science Fair,Creative Writing,Sports Committee,
Jacob Johnson,1a,School Newspaper,Debate Team,Science Fair,
Stephen Coleman,2b,Sports Committee,Art Project,Drama Performance,
Richard Ferrell,4a,Sports Committee,Art Project,Music Band,
William Maynard,1a,Debate Team,Drama Performance,Robotics,
Shane Patterson,2b,Debate Team,Art Project,Gardening Club,
Jennifer Lopez,3b,School Newspaper,Art Project,Science Fair,
James Rose,1a,Debate Team,School Newspaper,Science Fair,
Mary Hamilton,2b,Robotics,Music Band,Creative Writing,
Michael Warner,1a,Sports Committee,Music Band,Creative Writing,
Donald Mullins,2a,Math Olympiad,Debate Team,Sports Committee,
Christopher Blackwell,3a,Debate Team,Creative Writing,Art Project,
Tanya Williams,1a,School Newspaper,Debate Team,Creative Writing,
Bethany Clark,1b,Debate Team,School Newspaper,Art Project,
William Dudley,3a,Music Band,Sports Committee,Art Project,
Carl Ewing,3a,Gardening Club,Drama Performance,Music Band,
Denise Colon,2b,Art Project,Debate Team,Sports Committee,
Jason Gomez,2a,Robotics,Math Olympiad,Creative Writing,
Deborah Barnett,4b,Robotics,Science Fair,Creative Writing,
Kathleen Espinoza,4a,Music Band,Creative Writing,Art Project,
Anthony Dominguez,4b,Creative Writing,Sports Committee,Robotics,
Kenneth Dawson,1b,Music Band,Science Fair,Debate Team,
Nathan Ford,3a,Math Olympiad,Sports Committee,Gardening Club,
Jennifer Gray,4a,Debate Team,Drama Performance,Gardening Club,
Shane Lucero,2a,Robotics,Creative Writing,Art Project,
Margaret Anderson,1b,Music Band,Creative Writing,Science Fair,
April Perez,4a,Debate Team,Drama Performance,Science Fair,
Jeffrey Young,4a,Music Band,Sports Committee,School Newspaper,
Kristy White,1a,Debate Team,Music Band,Drama Performance,
Steven Robinson,1a,Robotics,Math Olympiad,Sports Committee,
Kevin Brown,1a,Robotics,Sports Committee,School Newspaper,
Jeffery Spence,3a,Science Fair,Creative Writing,Sports Committee,
Jessica Porter,2b,Debate Team,School Newspaper,Robotics,
Melissa Morales,3a,Music Band,Art Project,Creative Writing,
Shawn Chen,1b,Science Fair,Art Project,School Newspaper,
Steven Aguirre,4a,Music Band,Science Fair,Creative Writing,
Arthur Phillips,2a,Sports Committee,Gardening Club,Music Band,
Renee Valencia,1b,Debate Team,Robotics,Math Olympiad,
